Entry,CoreID,Drive,DepthDrive,SedDepth,AgeLo,AgeMed,AgeHi,Li,Be,B,Na,Mg,Al,Si,P,K,K_NoNeg,Ca,Sc,Ti,V,Cr,Mn,Fe,Fe_1,Co,Ni,Cu,Zn,Ge,As,As_1,Se,Se_2,Se_1,Rb,Sr,Zr,Mo,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,W,Tl,Pb,Bi,U,ResMinMatterPct,DensDB,SedRate,OrgPct,S_V,C_V,AdAl_v,AdAl_s,L8,Bd35,C_pct,C_mol,N_pct,N_mol,CN_pct,CN_mol,d13C,HasLignin,HasMetals,HasCN,HasLOI,HasBDens
1,LL-M227,S,1,0.5,-64,-52,84,0.100191924,0,4.415866297,229.0101129,551.3206421,2088.657048,1701.672367,216.8174448,460.1406898,460.1406898,8057.763231,0.258696609,61.49345624,-3.329128493,3.101178612,21.89379088,1712.274687,1892.514127,0.464381618,2.777807851,15.37336406,54.60194821,0,-2.412027809,1.171556365,-5.990310823,0.153203525,-2.003838488,2.104560528,22.68896489,0.710355443,0.232190809,-0.090649836,0.964811124,0.003684306,0.150552945,0.049936927,0.121396564,56.72241222,2.237089529,3.572981854,0.938305324,0,12.82880725,-0.007792705,0.122456796,NA,0.005440313,0.000418486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE
2,LL-M228,S,2,1.5,-62,-39,138,0.016215617,0,5.233859026,37.61836175,490.6742837,2341.217296,1831.850659,257.0198629,426.1856635,426.1856635,9579.831253,0.369173985,68.22709087,-1.084156513,3.715105291,22.85140235,1752.408156,1986.062577,0.528058991,2.766468342,16.91658007,59.81553173,0,-1.663619476,1.495388293,-2.187005379,1.434638144,0.028225454,2.252428617,27.05718193,0.446279944,0.230850568,0.395810589,1.154252839,0.006822709,0.067292473,0.050469355,0.113556049,63.08669362,2.635621867,4.084279276,2.289813324,0,15.51465354,-0.00145333,0.141594579,NA,0.019268068,0.001482159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE
3,LL-M229,S,4,3.5,-58,-13.5,208.023,-0.013902387,0,3.465522681,11.48458098,338.8958807,1684.40521,367.909559,246.2132974,70.51935687,70.51935687,4875.909818,0.181335489,52.38580796,-1.410387137,2.744210402,16.32019402,1100.101967,1168.606485,0.37314814,1.881859409,11.04131645,38.16104626,0,-1.680375532,0.854291638,1.73276134,-0.459383239,-6.689264709,1.769028438,13.25763909,0.296584267,0.194633425,0.273212137,0.785787119,0.003413137,0.024903407,0.03699244,0.086235099,38.96698177,1.853651666,2.905397503,1.269348424,0,10.51745837,-0.004835613,0.105980519,NA,0.038392969,0.003338519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE
4,LL-M230,S,6,5.5,-55,10,260,0.069195655,0,5.421060839,39.13741484,546.5134504,2494.569459,1423.579391,333.6376467,417.8183476,417.8183476,5994.018488,0.236234846,67.43270799,-0.294412085,3.984259348,25.65087324,1401.542558,1546.985654,0.608216582,4.715882193,15.86651953,58.17723827,0,-1.317802594,1.313395228,-0.144561622,1.427986758,-2.485754726,2.230127467,16.30725618,0.349504166,0.196127811,0.142798676,1.093026901,0.007889186,0.055973555,0.045836612,0.121643316,51.56618847,2.679678854,4.173776109,0.912324873,0,14.54430957,-0.006919565,0.145002359,NA,0.020196902,0.001836082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE
5,LL-M231,S,8,7.5,-51,32,306.023,0.026486998,0,5.02423712,20.34084348,492.6679117,2175.543452,1165.818128,316.5757175,112.1917027,112.1917027,5024.23712,0.198530535,63.41270151,-2.204810853,3.268193078,21.36520251,1107.283326,1219.475029,0.473644101,2.351147856,13.26788832,45.9985981,0,-1.956037947,1.370689933,-1.68775344,-0.668272316,-1.814578843,1.960915847,13.65812033,0.315600138,0.185360204,0.624371215,0.921923122,0.003897442,0.024487059,0.038389074,0.095119052,43.94988005,2.326758355,3.634035587,0.941434722,0,12.87765631,-0.010389927,0.128288773,28.95204263,0.031493059,0.002863005,71.04795737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
6,LL-M232,S,10,9.5,-48,53,348,0.037080742,0,5.550149714,4.14825845,531.0919123,2387.521299,1368.398981,317.2197638,96.17069763,96.17069763,5502.303596,0.199518313,68.41994906,-1.267922133,3.411428229,24.30582806,1196.152956,1349.260534,0.483245794,2.559767325,14.49737382,48.80304059,0,-1.382752817,1.598060349,-3.420997453,-0.071769177,1.588491125,1.856429387,15.64568066,0.325353604,0.159806035,0.309564385,1.004768483,0.00665061,0.026937365,0.044305505,0.102390693,49.75996295,2.722444127,4.220027627,0.511953465,0,15.64568066,-0.007990302,0.141146049,29.26008969,0.034866193,0.003169654,70.73991031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
7,LL-M233,S,12,11.5,-44,75,392,0.113942651,0,5.551982688,23.29655481,511.6533065,2384.086684,1251.917665,330.2159638,319.6925979,319.6925979,5515.695219,0.257641027,65.31744339,0.776551827,3.846471666,24.20374152,1164.82774,1233.773931,0.515282053,2.739703875,15.31331173,51.52820534,0,-0.6350307,1.440612501,2.336912974,-0.522539547,-8.708992451,1.839774655,14.62384982,0.319329723,0.160753486,0.032985309,1.041450347,0.006930906,0.041367714,0.04027909,0.100153413,46.08508506,2.736075129,4.209346352,0.482623332,0,15.02301198,-0.003556172,0.146238498,29.88004362,0.03109848,0.002827135,70.11995638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
8,LL-M234,S,14,13.5,-40,96,430,0.092426576,0,5.614698513,15.72115584,531.2368593,2656.184297,1399.355629,335.1543113,79.03767907,79.03767907,5614.698513,0.231066439,70.39968136,0.660806825,3.999392941,24.22958358,1213.638679,1325.932649,0.531236859,2.936919222,17.10323547,59.17028433,0,-0.79469579,2.405682363,-3.977797947,0.399075494,3.053532191,2.198370418,14.98692603,0.343360409,0.200401547,0.26605033,1.088387712,0.005787458,0.03874142,0.058306485,0.142526962,45.34948799,2.850539245,4.491758811,3.459518084,0,15.28925595,-0.003196059,0.15073306,30.13059701,0.029474766,0.002947477,69.86940299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
9,LL-M235,S,16,15.5,-35,116,470,0.081954136,0,5.436561515,30.55023,515.2562032,2580.338152,1326.683295,337.9593837,65.31988088,65.31988088,5558.275578,0.253165253,70.18844343,2.361252837,4.138278168,23.45024295,1184.683554,1326.683295,0.555827558,2.92113753,18.33825227,66.13130798,0,-0.389890718,2.089424761,-1.192797825,-0.292113753,-1.460568765,2.324738618,15.21425797,0.450342036,0.23450243,0.555827558,1.261769128,0.007383987,0.040571355,0.072217011,0.15335972,44.2227765,2.872451905,4.503420359,2.044796271,0,17.16168299,0.005842275,0.161068278,28.2967033,0.027110779,0.002711078,71.7032967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
10,LL-M236,S,18,17.5,-30,136,502.023,0.066122161,0,5.427938624,6.020077383,523.0559038,2625.148498,1529.691794,354.2963575,50.82524348,50.82524348,5625.31821,0.234388259,71.55010005,1.070784256,4.001871113,22.99472181,1169.474049,1317.508739,0.547728352,2.975497264,19.14581987,65.13526349,0,-0.991832421,2.136634022,1.514888325,-0.414003682,-1.717202401,2.417899933,14.90215877,0.450518906,0.29113489,0.759911407,1.233622415,0.008043218,0.031778113,0.09079461,0.170239893,44.95320079,2.866938491,4.47064763,0.700697531,0,17.12267911,0.002057682,0.161357812,29.22155689,0.031761932,0.003176193,70.77844311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
11,LL-M237,S,20,19.5,-24.023,155,537.023,0.134678543,0,5.843810325,20.04697847,510.8496443,2565.858441,1366.135791,376.1711017,68.50029322,68.50029322,5534.20448,0.295286575,70.04832244,2.894814651,4.063576716,22.02071573,1118.451115,1304.214622,0.565030667,3.258601519,18.46024851,63.08219093,0,-0.464408768,2.395575226,-0.046053869,0.119972265,1.404836522,2.233032157,14.82237983,0.410227745,0.255037815,1.219073015,1.292604403,0.009249475,0.054181023,0.076240439,0.138161608,46.05386945,2.859983994,4.527985484,0.402487599,0,16.52521198,0.003270212,0.157511974,29.23076923,0.02995315,0.002723014,70.76923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
12,LL-M238,S,22,21.5,-19,176,566,0.0263596,0,4.662242175,15.82472585,452.775442,2236.979659,1367.292176,335.7710951,40.97393604,40.97393604,4707.071427,0.218318456,61.41607481,0.288252088,3.097701292,18.60413945,945.8972106,1031.072789,0.493121769,2.528369795,14.74882381,52.00193196,0,-1.174526394,2.062145578,-0.636575374,0.663472925,3.164945169,1.860413945,12.77633673,0.384634979,0.237146741,0.059622905,0.945897211,0.005693315,0.031335647,0.06231266,0.113866299,40.03252176,2.313189387,3.684964489,0.690370476,0,13.67292176,0.001255219,0.134936048,29.38530735,0.032009854,0.003200985,70.61469265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
13,LL-M239,S,24,23.5,-13,195.5,600,-0.009046993,0,4.413401031,-0.82332427,394.9084437,1967.362065,1531.766084,306.8318938,13.73802707,13.73802707,4164.489042,0.181897223,56.96255127,-1.06744949,2.441252197,16.0356762,794.6036563,895.1258056,0.411183458,2.177979901,13.1157471,44.46908414,0,-1.593994082,1.273280558,-5.648387436,1.579633775,-2.52262727,1.50304547,11.58398101,0.285291433,0.238859774,0.588772589,0.880765499,0.004116621,0.031736279,0.056005197,0.096692734,37.384666,2.13489898,3.30287062,0.813750732,0,12.30199637,-0.004882504,0.119669225,29.53586498,0.044329126,0.004666224,70.46413502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
14,LL-M240,S,26,25.5,-8,215,632,0.040558861,0,5.461391193,5.581863057,449.7616276,2035.974511,1626.370171,326.4787529,35.3384136,35.3384136,4778.717293,0.270258549,56.62177633,1.786999324,2.999749427,18.31172341,879.4446112,1028.026577,0.400769736,2.361248545,15.50071324,50.99975599,0,-0.738894103,1.811093697,-3.686439055,0.142959946,2.88730902,1.718731934,12.85033222,0.425667255,0.213636773,0.638500882,0.923617628,0.006264537,0.092763336,0.062243797,0.114849844,41.76357971,2.361248545,3.642266038,0.310415838,0,14.01489358,0.003935414,0.132519051,29.5264624,0.045862052,0.004169277,70.4735376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
15,LL-M241,S,28,27.5,-2,235,659.023,0.072399589,0,4.534115701,2.881357397,387.5937615,1916.029538,1550.375046,314.0972086,35.68787842,35.68787842,4205.026658,0.226340131,54.48251931,1.521122687,3.002023379,15.39405411,819.066062,855.6315112,0.43878539,2.329219114,14.18739429,45.7068115,0,-0.647208451,1.864837909,-2.837478858,0.92876241,-1.327325806,1.700293388,11.48155105,0.326529461,0.198916044,0.665491175,0.89951005,0.004570681,0.031519417,0.0650865,0.120300328,37.29675818,2.142735323,3.367677871,1.623505944,0,12.76134177,0.001729546,0.119934673,26.17026379,0.049542469,0.004503861,71.10311751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
16,LL-M242,S,30,29.5,5,256,686,0.125995661,0,6.483718321,6.115847778,542.609051,2644.069528,2009.492841,380.2861738,48.74284695,48.74284695,5931.912506,0.374308278,75.41346132,2.023287987,4.690349423,23.58969857,1154.193829,1315.137191,0.625379923,3.333826796,19.12926824,66.67653592,0,-0.64377345,2.979751398,0.915077976,1.351924246,-3.159088288,2.285395749,15.86441717,0.415233875,0.283260318,0.864495776,1.204776028,0.008828893,0.041063549,0.080931519,0.180256566,51.04203784,2.947562726,4.690349423,0.324645754,0,17.47385079,0.00125076,0.165541744,28.18585635,0.038305673,0.003830567,70.05524862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
17,LL-M243,S,32,31.5,13,275,711.023,0.138377219,0,7.166768004,10.41209691,567.9325588,2790.08138,2095.941586,356.5354397,62.65287752,62.65287752,6175.139726,0.396200571,77.52730167,2.307789445,4.777845336,24.3399668,1253.05755,1401.801792,0.649065781,3.448161964,19.69734351,69.86471953,0,-0.236638566,2.704440756,1.514486823,0.439922363,0.869928443,2.172567407,16.49708861,0.513843744,0.294784042,0.694139794,1.329683372,0.00865421,0.050933634,0.080682483,0.164069406,53.638075,3.105599468,4.777845336,0.401158712,0,18.43527115,0.007256916,0.168576807,27.57826725,0.035571549,0.003557155,69.75036711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
