depth	min	max	median	mean
0.5	-65	2	-31	-32
0.85	-63	11	-28	-27
1.25	-61	22	-23	-22
1.5	-60	28	-20	-19
1.65	-59	34	-18	-17
2.05	-57	47	-14	-12
2.45	-56	60	-10	-7
2.5	-56	62	-9	-7
2.85	-55	73	-5	-2
3.25	-53	87	-1	3
3.5	-53	96	1	6
3.65	-53	102	3	8
4.05	-52	115	7	13
4.45	-51	128	11	18
4.5	-51	130	12	19
4.85	-50	141	16	23
5.25	-46	149	20	28
5.5	-43	151	23	31
5.65	-41	154	25	32
6.05	-39	159	30	37
6.45	-36	165	34	42
6.5	-36	166	35	42
6.8	-34	169	39	46
7.25	-31	178	44	51
7.5	-30	182	47	54
7.65	-29	186	49	56
8.05	-28	193	53	61
8.45	-26	203	57	65
8.5	-26	204	58	66
8.85	-24	215	62	70
9.25	-22	225	66	75
9.5	-21	231	68	78
9.65	-21	235	70	79
10.05	-19	246	74	84
10.45	-14	250	79	90
10.5	-14	250	80	90
10.85	-11	257	85	95
11.25	-8	264	91	100
11.5	-7	269	95	104
11.65	-6	271	97	106
12.05	-3	280	102	111
12.45	-1	287	107	117
12.5	0	289	108	117
12.85	2	294	112	122
13.25	4	300	117	127
13.5	5	306	121	131
13.65	5	310	123	133
13.8	6	314	126	135
14.4	8	331	132	143
14.5	9	335	134	144
15	12	354	140	151
15.5	18	359	146	157
15.6	19	360	148	159
16.2	24	362	155	166
16.5	26	366	159	170
16.8	28	374	163	174
17.4	33	379	171	181
17.5	33	381	172	183
18	36	394	179	189
18.5	39	403	185	195
18.6	39	405	186	196
19.2	43	421	193	204
19.5	45	428	197	208
19.8	46	439	201	211
20.4	51	447	208	219
20.5	52	448	209	220
21	58	456	216	226
21.5	63	465	222	233
21.6	63	466	223	234
22.2	68	478	231	241
22.5	70	484	234	245
22.8	72	488	237	249
23.4	75	501	244	256
23.5	76	503	245	258
24	81	512	251	264
24.5	85	523	257	270
24.6	86	524	258	271
25.2	90	536	266	279
25.5	94	538	270	283
25.8	98	540	274	287
26.2	103	546	280	292
26.5	107	553	284	296
26.8	110	558	288	300
27.4	113	569	299	308
27.5	114	571	300	310
28	120	580	306	316
28.5	124	592	313	323
28.6	125	594	313	324
29.2	130	608	321	332
29.5	131	616	325	336
29.8	132	624	328	340
30.4	140	633	335	348
30.5	141	635	336	349
31	147	640	345	356
31.5	151	645	352	362
31.6	153	646	353	363
32.2	159	656	360	371
32.5	163	659	364	375
32.8	166	664	367	378
33.4	169	670	375	386
33.5	170	670	376	387
34	174	675	382	394
34.5	177	683	389	400
34.6	178	685	391	401
35.2	183	690	400	409
35.5	187	695	403	412
35.8	190	699	407	416
36.4	198	708	415	423
36.5	199	709	416	425
37	204	716	422	431
37.5	209	725	428	437
37.6	210	727	429	438
38.2	218	739	436	446
38.5	221	745	440	449
38.8	224	753	443	453
39.2	229	762	447	458
39.5	231	771	451	462
39.8	233	776	454	465
40.4	238	786	461	473
40.5	239	788	462	474
41	246	796	468	480
41.5	252	800	474	486
41.6	253	800	475	487
42.2	259	808	482	495
42.5	261	813	486	498
42.8	264	817	491	502
43.4	270	827	498	509
43.5	271	828	499	510
44	274	830	505	517
44.5	278	839	511	523
44.6	279	840	513	524
45.2	286	847	519	531
45.5	293	852	524	535
45.8	300	855	529	539
46.4	309	865	535	547
46.5	310	867	537	548
47	315	873	544	555
47.5	321	880	549	561
47.6	322	881	551	562
48.2	328	887	558	570
48.5	331	892	561	574
48.8	333	897	565	578
49.4	338	908	571	585
49.5	338	909	573	587
50	343	912	579	593
50.5	351	920	586	599
50.6	352	921	586	600
51.2	359	930	595	608
51.5	362	935	599	611
51.8	364	939	603	615
52.2	367	945	607	620
52.5	369	950	611	623
52.8	371	954	616	627
53	373	957	618	629
53.4	375	964	623	634
53.5	376	965	624	635
54	383	973	630	642
54.5	388	979	637	648
54.6	389	981	638	649
55.2	394	988	646	656
55.5	396	989	650	659
55.8	399	992	654	662
56.4	406	995	660	669
56.5	407	997	661	670
57	409	1001	667	676
57.5	417	1004	671	681
57.6	419	1004	672	682
57.9	421	1009	676	686
58.2	423	1017	679	689
58.5	426	1025	682	692
58.8	429	1030	685	696
59.4	431	1034	692	702
59.5	432	1036	693	703
60	436	1043	698	709
60.5	443	1053	705	716
60.6	447	1056	706	717
61.2	457	1067	713	725
61.5	463	1072	717	729
61.8	467	1078	721	733
62.4	476	1088	730	741
62.5	477	1089	730	743
63	481	1094	738	750
63.5	488	1106	744	756
63.6	489	1108	746	758
64.2	496	1114	755	766
64.5	497	1117	758	770
64.8	500	1124	762	774
65.4	506	1133	770	782
65.5	507	1135	771	783
66	515	1143	777	789
66.2	516	1144	779	792
66.5	516	1147	784	796
66.8	521	1151	788	800
67.4	525	1157	798	807
68	532	1161	805	815
68.6	541	1167	813	823
69.2	546	1174	821	831
69.5	547	1176	824	834
69.8	550	1180	828	838
70.4	555	1187	836	846
70.5	556	1188	837	847
71	564	1192	844	854
71.5	571	1199	850	860
71.6	572	1200	851	861
72.2	579	1205	858	869
72.5	582	1208	863	873
72.8	587	1212	867	877
73.4	590	1222	877	884
73.5	591	1222	878	886
74	597	1232	884	892
74.5	602	1238	893	898
74.6	603	1239	894	900
75.5	614	1253	907	911
76.5	626	1260	921	925
77.5	636	1274	934	938
78.5	646	1296	947	951
79.5	652	1310	958	964
80.5	662	1328	970	976
81.5	672	1337	980	987
82.5	680	1345	992	998
83.5	691	1358	1005	1009
84.5	698	1368	1016	1020
85.5	711	1377	1027	1031
86.5	722	1384	1039	1043
87.5	736	1402	1048	1055
88.5	746	1417	1058	1066
89.5	754	1433	1072	1078
90.5	763	1445	1085	1090
91.5	776	1453	1098	1103
92.5	789	1458	1109	1116
93.5	800	1470	1126	1129
94.5	812	1484	1139	1142
95.5	820	1493	1151	1154
96.5	834	1502	1167	1167
97.5	845	1509	1180	1179
98.5	856	1521	1191	1191
99.5	865	1543	1205	1203
100.5	876	1554	1217	1215
101.5	888	1563	1230	1228
102.5	897	1571	1244	1240
103.5	906	1583	1258	1253
104.5	912	1598	1271	1265
105.5	925	1610	1284	1278
106.5	940	1629	1297	1290
107.5	950	1639	1312	1303
108.5	960	1653	1326	1315
109.5	971	1673	1340	1327
110.5	986	1687	1354	1341
111.5	1008	1697	1365	1355
112.5	1027	1712	1376	1368
113.5	1036	1727	1391	1382
114.5	1046	1742	1402	1396
115.5	1057	1754	1418	1409
116.5	1068	1765	1429	1421
117.5	1078	1778	1440	1433
118.5	1088	1785	1451	1445
119.5	1106	1798	1463	1457
120.5	1119	1807	1474	1469
121.5	1130	1817	1487	1481
122.5	1136	1826	1499	1494
123.5	1149	1838	1511	1506
124.5	1164	1850	1524	1518
125.5	1183	1862	1537	1531
126.5	1210	1873	1550	1543
127.5	1226	1883	1560	1556
128.5	1245	1895	1571	1569
129	1253	1903	1577	1575
129.5	1257	1910	1581	1581
130.5	1271	1923	1592	1594
131.5	1284	1932	1605	1606
132	1291	1938	1612	1612
133.5	1310	1956	1631	1630
135	1330	1973	1651	1648
135.5	1338	1976	1657	1654
137.5	1365	1994	1681	1678
138	1371	2000	1688	1684
139	1377	2008	1701	1696
141	1401	2027	1725	1720
142	1420	2040	1735	1732
144	1454	2063	1759	1755
145	1467	2076	1772	1767
147	1493	2093	1795	1793
148	1506	2104	1807	1807
150	1529	2132	1833	1833
151	1545	2145	1847	1846
153	1569	2171	1873	1872
154	1583	2188	1885	1885
156	1611	2209	1912	1911
157	1633	2217	1927	1925
159	1658	2246	1956	1951
160	1669	2261	1969	1965
162	1685	2280	1994	1987
163	1694	2289	2007	1998
165	1708	2309	2030	2020
166	1727	2317	2041	2033
168	1752	2341	2067	2058
169	1759	2353	2079	2070
171	1785	2368	2103	2095
172	1796	2381	2116	2108
174	1823	2396	2140	2133
175	1837	2406	2153	2146
177	1869	2422	2181	2171
178	1878	2434	2194	2184
180	1894	2460	2220	2210
181	1913	2469	2231	2223
183	1956	2483	2258	2249
184	1973	2492	2270	2262
186	2007	2511	2297	2288
187	2030	2517	2310	2301
189	2060	2538	2337	2327
190	2069	2557	2349	2340
192	2111	2569	2377	2368
193	2128	2576	2393	2381
195	2161	2601	2420	2409
196	2184	2607	2431	2421
198	2221	2620	2454	2447
199	2236	2631	2468	2460
201	2272	2645	2491	2484
202	2288	2651	2504	2496
204	2315	2664	2531	2520
205	2327	2673	2545	2532
207	2381	2682	2569	2558
208	2403	2686	2583	2570
210	2430	2701	2607	2596
211	2444	2715	2621	2610
213	2473	2762	2651	2637
214	2481	2791	2663	2651
216	2508	2837	2689	2680
217	2524	2847	2701	2694
219	2547	2878	2728	2722
220	2558	2905	2740	2737
222	2587	2922	2766	2763
223	2597	2932	2778	2776
225	2618	2961	2802	2802
226	2642	2967	2818	2817
228	2681	2988	2850	2847
229	2691	2999	2866	2862
231	2728	3024	2896	2892
234	2785	3054	2942	2935
235	2793	3069	2958	2950
237	2859	3080	2981	2978
238	2880	3086	2993	2992
240	2901	3106	3017	3020
241	2914	3112	3025	3026
243	2937	3126	3039	3040
244	2946	3132	3045	3046
246	2963	3148	3058	3059
247	2972	3158	3066	3066
249	2987	3180	3080	3079
250	2995	3190	3087	3085
252	3008	3196	3099	3097
253	3015	3198	3106	3103
255	3024	3211	3120	3115
256	3036	3221	3131	3126
258	3054	3254	3149	3147
259	3060	3272	3157	3158
260	3066	3297	3165	3168
261	3078	3316	3178	3182
262	3086	3351	3190	3196
263	3093	3393	3202	3210
265	3104	3449	3225	3238
266	3118	3456	3240	3252
268	3138	3489	3271	3280
269	3145	3512	3284	3294
271	3162	3553	3311	3321
272	3171	3571	3324	3335
274	3184	3610	3352	3363
275	3191	3634	3366	3377
277	3212	3654	3394	3403
278	3221	3667	3405	3416
280	3238	3698	3431	3441
281	3256	3709	3445	3455
283	3285	3736	3473	3482
284	3296	3754	3486	3495
286	3318	3778	3512	3521
287	3327	3790	3526	3533
289	3343	3811	3552	3557
290	3348	3825	3563	3569
292	3375	3845	3590	3596
293	3386	3856	3602	3610
295	3403	3896	3630	3636
296	3419	3906	3644	3651
298	3448	3940	3675	3681
299	3456	3960	3690	3695
301	3479	3994	3717	3723
302	3489	4007	3729	3736
304	3511	4033	3756	3763
305	3522	4046	3770	3776
307	3548	4062	3794	3798
308	3557	4070	3806	3810
310	3576	4092	3830	3832
311	3589	4101	3841	3845
313	3613	4127	3869	3871
314	3625	4139	3884	3884
316	3651	4162	3911	3909
317	3663	4173	3923	3921
319	3690	4196	3947	3946
320	3701	4211	3961	3958
322	3722	4230	3983	3982
323	3732	4244	3994	3994
325	3752	4276	4017	4018
326	3773	4287	4033	4032
328	3803	4310	4064	4060
329	3821	4327	4078	4075
331	3845	4354	4106	4102
332	3858	4364	4119	4115
334	3883	4390	4145	4141
335	3892	4404	4157	4155
337	3923	4421	4185	4182
338	3931	4430	4199	4195
340	3945	4467	4227	4223
341	3969	4475	4241	4237
343	4003	4494	4269	4264
344	4020	4506	4284	4278
346	4052	4530	4309	4305
347	4068	4537	4323	4318
349	4096	4553	4350	4344
350	4109	4565	4363	4357
352	4148	4587	4391	4383
353	4166	4596	4404	4396
355	4191	4625	4427	4422
356	4208	4630	4440	4435
358	4241	4647	4467	4461
359	4256	4657	4481	4474
361	4293	4681	4509	4503
362	4314	4689	4523	4518
364	4341	4717	4556	4549
365	4354	4734	4570	4565
367	4402	4746	4596	4591
368	4424	4754	4609	4604
370	4448	4775	4635	4631
371	4472	4780	4647	4644
373	4520	4790	4673	4670
374	4539	4799	4686	4684
376	4580	4813	4711	4710
377	4596	4821	4726	4723
379	4623	4843	4758	4749
380	4632	4864	4773	4763
382	4665	4880	4798	4788
383	4678	4893	4810	4801
385	4698	4927	4836	4827
386	4717	4936	4846	4837
388	4743	4955	4865	4858
389	4752	4967	4873	4869
391	4790	4999	4899	4895
392	4818	5010	4918	4910
393	4842	5022	4936	4926
394	4856	5043	4950	4941
395	4862	5066	4962	4957
396	4888	5079	4977	4976
398	4926	5112	5014	5014
399	4942	5143	5034	5033
400	4957	5178	5053	5052
401	4966	5189	5064	5064
402	4978	5200	5075	5075
404	4990	5227	5097	5098
405	4993	5249	5107	5109
407	5016	5271	5132	5133
408	5023	5286	5145	5145
410	5035	5323	5170	5170
411	5046	5332	5180	5182
413	5064	5355	5206	5207
414	5072	5369	5219	5219
416	5098	5401	5244	5245
417	5113	5413	5258	5258
419	5139	5439	5285	5285
420	5150	5456	5299	5298
422	5179	5468	5327	5325
423	5190	5476	5341	5339
425	5205	5513	5370	5366
426	5223	5519	5381	5378
428	5253	5538	5407	5403
429	5262	5548	5420	5415
432	5301	5572	5455	5450
434	5325	5595	5480	5473
435	5335	5608	5491	5485
437	5370	5617	5516	5509
438	5386	5624	5528	5522
440	5409	5648	5553	5546
441	5438	5653	5563	5559
443	5482	5669	5581	5583
444	5494	5680	5591	5595
446	5514	5701	5620	5619
447	5529	5712	5632	5631
449	5561	5752	5654	5655
450	5576	5781	5663	5667
452	5599	5807	5690	5692
453	5605	5824	5702	5705
455	5612	5866	5726	5730
456	5627	5878	5738	5742
458	5652	5907	5763	5768
459	5659	5932	5777	5780
461	5678	5963	5799	5804
462	5686	5973	5811	5816
464	5703	5998	5835	5839
465	5709	6010	5847	5850
467	5735	6030	5874	5877
468	5744	6046	5888	5890
470	5763	6081	5914	5917
471	5780	6089	5926	5930
473	5800	6115	5954	5955
474	5809	6127	5967	5968
476	5835	6154	5992	5994
477	5845	6163	6007	6007
479	5864	6188	6035	6033
480	5873	6206	6049	6046
482	5905	6221	6074	6071
483	5914	6230	6087	6084
485	5936	6259	6114	6109
486	5958	6266	6126	6121
488	5983	6281	6149	6144
489	5992	6292	6162	6156
491	6027	6313	6185	6180
492	6043	6322	6197	6192
494	6071	6339	6220	6216
495	6078	6351	6234	6228
497	6132	6362	6256	6254
498	6157	6367	6266	6267
500	6190	6385	6289	6293
501	6212	6392	6300	6307
503	6231	6429	6331	6335
504	6238	6452	6345	6349
506	6257	6491	6374	6376
507	6271	6504	6389	6389
509	6285	6536	6416	6415
510	6291	6558	6429	6428
512	6330	6575	6455	6454
513	6341	6588	6468	6467
515	6361	6633	6492	6493
516	6382	6639	6506	6507
518	6414	6663	6532	6533
519	6427	6677	6546	6547
521	6453	6706	6576	6575
522	6466	6721	6593	6591
524	6486	6766	6622	6621
525	6498	6792	6636	6637
526	6513	6806	6652	6653
528	6539	6840	6682	6684
529	6547	6863	6697	6700
530	6557	6898	6713	6716
531	6573	6911	6728	6732
532	6585	6927	6745	6747
534	6604	6968	6777	6779
535	6611	6996	6792	6794
537	6644	7023	6821	6825
538	6663	7036	6836	6841
540	6683	7083	6867	6872
541	6704	7093	6883	6887
543	6732	7120	6916	6918
544	6741	7138	6930	6933
546	6769	7168	6963	6965
547	6789	7180	6979	6982
549	6813	7212	7014	7015
550	6826	7238	7031	7031
552	6853	7256	7063	7061
553	6866	7267	7079	7077
555	6886	7294	7111	7107
556	6904	7304	7127	7122
558	6943	7328	7159	7153
559	6955	7345	7173	7168
561	6995	7368	7207	7200
562	7017	7373	7224	7217
564	7049	7397	7261	7250
565	7064	7414	7278	7266
567	7121	7428	7309	7298
568	7144	7435	7326	7314
570	7176	7460	7360	7346
571	7210	7464	7373	7362
573	7262	7477	7402	7393
574	7281	7486	7415	7408
576	7316	7502	7436	7432
577	7331	7507	7443	7440
579	7351	7519	7461	7457
580	7360	7531	7470	7466
582	7379	7538	7483	7478
583	7386	7543	7489	7484
585	7400	7555	7501	7497
586	7413	7559	7507	7503
588	7433	7573	7519	7515
589	7443	7582	7525	7520
591	7466	7601	7541	7537
592	7480	7610	7553	7548
594	7493	7642	7570	7569
595	7497	7665	7578	7580
597	7522	7738	7615	7621
598	7531	7788	7633	7641
600	7546	7895	7669	7682
601	7564	7913	7691	7704
603	7586	7968	7734	7747
604	7593	8004	7754	7768
606	7621	8068	7795	7810
607	7634	8087	7818	7830
609	7656	8144	7862	7871
610	7662	8173	7881	7891
612	7701	8226	7922	7933
613	7717	8250	7946	7955
615	7734	8324	7988	7997
616	7761	8343	8009	8018
618	7795	8377	8051	8059
619	7805	8402	8073	8080
621	7835	8439	8118	8122
622	7855	8453	8143	8143
624	7883	8509	8187	8186
625	7896	8547	8207	8208
627	7938	8569	8251	8249
628	7956	8584	8273	8270
630	7988	8618	8315	8311
631	8015	8634	8337	8332
633	8047	8664	8377	8373
634	8065	8688	8398	8393
636	8108	8724	8442	8436
637	8134	8743	8465	8457
639	8170	8781	8514	8500
640	8185	8807	8535	8521
642	8253	8833	8575	8564
643	8271	8847	8596	8585
645	8303	8887	8641	8627
646	8340	8897	8660	8647
648	8385	8923	8700	8686
649	8398	8934	8718	8706
651	8444	8964	8756	8746
652	8482	8973	8777	8766
654	8531	9004	8820	8807
655	8552	9022	8841	8827
657	8626	9037	8885	8870
658	8657	9048	8907	8892
660	8706	9085	8953	8935
662	8790	9097	8985	8976
663	8812	9104	9001	8996
665	8841	9126	9031	9037
666	8861	9142	9051	9052
668	8889	9200	9084	9081
669	8905	9226	9096	9095
671	8941	9268	9123	9124
672	8957	9279	9140	9139
674	8995	9310	9173	9168
675	9005	9334	9187	9182
677	9053	9357	9222	9212
678	9060	9373	9239	9227
680	9089	9413	9271	9256
681	9102	9419	9284	9269
683	9120	9442	9312	9293
684	9130	9457	9324	9305
686	9145	9485	9345	9328
687	9153	9498	9353	9338
689	9161	9528	9370	9358
690	9166	9551	9378	9368
692	9181	9572	9397	9388
693	9187	9587	9405	9398
695	9200	9623	9424	9418
696	9206	9636	9433	9427
698	9220	9658	9450	9446
699	9225	9672	9458	9456
701	9240	9701	9476	9475
702	9250	9715	9486	9485
704	9266	9744	9506	9505
705	9274	9763	9515	9515
707	9287	9780	9534	9535
708	9295	9790	9543	9546
710	9312	9822	9563	9566
711	9320	9836	9573	9576
713	9340	9864	9595	9595
714	9347	9880	9604	9605
716	9365	9908	9625	9625
717	9372	9920	9635	9636
719	9388	9948	9655	9656
720	9397	9966	9662	9666
722	9413	9985	9682	9685
723	9424	10000	9693	9695
725	9440	10018	9711	9714
726	9447	10030	9724	9724
728	9461	10060	9743	9745
729	9470	10077	9754	9755
731	9485	10103	9775	9776
732	9496	10118	9783	9786
734	9512	10153	9801	9806
735	9518	10167	9811	9815
737	9536	10183	9831	9835
738	9547	10196	9841	9845
740	9562	10225	9859	9865
741	9567	10231	9871	9875
743	9588	10251	9888	9895
744	9596	10266	9897	9905
746	9615	10284	9918	9925
747	9624	10300	9928	9935
749	9639	10331	9948	9956
750	9644	10350	9956	9966
752	9660	10357	9978	9986
753	9666	10365	9989	9996
755	9680	10392	10010	10016
