Entry,CoreID,Drive,DepthDrive,SedDepth,AgeLo,AgeMed,AgeHi,Li,Be,B,Na,Mg,Al,Si,P,K,K_NoNeg,Ca,Sc,Ti,V,Cr,Mn,Fe,Fe_1,Co,Ni,Cu,Zn,Ge,As,As_1,Se,Se_2,Se_1,Rb,Sr,Zr,Mo,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,W,Tl,Pb,Bi,U
1,LL-M227,S,1,0.5,-65,-31,2,23.5423504,NA,21.36281737,2.036482735,14.12516322,7.240456761,5.875700994,3.549058553,0.660331177,0.724161062,3.574457057,19.37049731,8.196082266,-33.92648629,8.440095061,5.879955129,9.447898515,9.085742702,13.34873437,9.981224271,19.11666094,6.075493276,NA,6.188842291,3.278935264,-0.623735555,24.38804212,4.74078202,2.764254622,5.744425957,3.492537708,9.95126423,-46.0951399,3.483299901,1.881427813,-0.1415357,2.230646171,3.427129763,4.950351217,10.51453921,9.756062009,8.717773738,NA,1,2.359177981,24.2113669
554,NA,S,NA,0.85,-63,-28,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
555,NA,S,NA,1.25,-61,-23,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,LL-M228,S,2,1.5,-60,-20,28,175.9158048,NA,21.79757719,14.99309583,19.19376763,7.81172917,6.600872896,3.620733002,0.862202758,0.945546244,3.63598873,16.41557951,8.933757507,-125.9891828,8.520376644,6.812992677,11.16424072,10.47037985,14.19673486,12.12037654,21.00990953,6.707049588,NA,10.85159388,3.106689544,-2.066121271,3.149626983,-407.0310746,3.123519564,5.82551814,6.723033079,12.10453574,12.76704983,3.521178326,1.228689669,-0.382952196,2.669196506,4.43080331,5.38280614,10.7931027,10.32156932,4.320216361,NA,1,15.29820603,25.32277968
556,NA,S,NA,1.65,-59,-18,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
557,NA,S,NA,2.05,-57,-14,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558,NA,S,NA,2.45,-56,-10,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,NA,S,NA,2.5,-56,-9,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,NA,S,NA,2.85,-55,-5,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
560,NA,S,NA,3.25,-53,-1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
